Relay Height,Gain,m,n,Time Delay,Amplitude,Time Period,Estimated m,Estimated n
1,1,2,2,7,1.076,18.106,0.867816979,2.228976713
1,1,5,2,7,1.439,19.736,4.529597755,2.199444553
1,5,8,1,6,16.58,19.284,8.064167061,1.092567337
1,7,9,5,2,2.578,11.983,9.90838515,5.714963193
1,1,7,1,7,2.779,19.746,7.114179941,1.140468902
1,6,3,2,8,7.147,20.581,1.952262552,2.253612058
1,7,10,1,5,25.49,19.733,9.790102285,1.097876457
1,2,2,2,6,2.155,16.132,1.191193619,2.186249868
1,1,8,3,4,1.137,16.878,7.875303593,2.998052554
1,2,5,4,8,1.94,23.14,3.489631812,3.985885318
1,2,7,5,7,1.674,22.409,5.329308787,5.013999845
1,6,9,2,4,10.59,17.793,8.931224585,2.017302968
1,7,9,5,6,6.215,21.403,8.451116465,4.796508129
1,7,4,3,7,7.324,20.055,2.961287529,3.156103298
1,1,1,9,3,0.2792,10.817,0.653322582,7.735377108
1,2,5,1,3,4.939,13.415,4.946128298,1.085733737
1,3,9,3,6,4.147,20.917,8.740228084,2.984500483
1,1,6,1,2,2.08,13.142,5.919061552,1.046052656
1,3,10,6,7,2.464,24.028,8.803466334,5.72953863
1,8,6,10,6,3.544,21.063,4.219796482,9.404699506
1,3,10,1,7,11.05,21.777,10.21062727,1.079398911
1,7,7,3,8,8.649,23.344,5.979076733,3.197304619
1,5,1,1,7,6.343,16.569,0.786312877,1.23881864
1,5,4,1,3,11.77,12.284,3.897320046,1.05676191
1,5,10,3,6,7.187,21.436,9.713590521,2.968829735
1,8,6,3,3,7.109,13.506,5.774218139,3.032790012
1,7,7,1,3,18.97,15.491,7.068508298,1.086530677
1,2,3,9,4,0.7223,14.498,2.283045938,8.027392583
1,4,9,8,5,2.086,19.118,7.621554549,7.409297343
1,5,8,1,3,14.04,15.941,7.541977316,1.064740081
1,7,3,1,6,12.93,15.485,2.890718308,1.103508398
1,4,10,1,7,14.73,21.777,10.21021949,1.079643174
1,5,5,2,6,7.286,17.992,4.611660975,2.1656457
1,8,7,5,2,3.08,10.945,7.15064819,5.253889861
1,6,10,2,5,11.06,19.681,9.638954331,2.162881666
1,2,6,4,6,1.93,19.596,5.289813481,3.861243979
1,5,2,1,8,7.675,19.197,2.627632538,1.266243829
1,8,9,1,7,26.69,20.805,8.801269915,1.081771419
1,3,8,4,4,2.513,16.581,7.546373659,4.005083328
1,5,7,1,6,15.02,18.491,7.0049626,1.113239666
1,2,1,1,7,2.537,16.569,0.785826661,1.2389163
1,3,4,2,5,4.033,15.588,3.647716576,2.121279489
1,1,3,8,5,0.4431,17.078,1.750827574,7.529881017
1,8,10,6,5,5.342,19.518,8.936076254,5.918679643
1,6,1,9,7,3.268,22.002,0.35918012,7.446691726
1,3,7,2,8,4.874,22.456,6.575876737,2.199573864
1,1,2,1,8,1.535,19.197,2.627632538,1.266243829
1,5,6,3,8,5.84,22.892,4.808049365,3.220932716
1,3,2,1,8,4.605,19.197,2.627632538,1.266243829
1,6,7,4,2,2.766,11.287,7.163339335,4.451319963
1,5,8,3,8,6.552,23.803,7.171075584,3.155403055
1,2,10,5,2,0.7606,12.235,10.35914906,5.57926717
1,7,7,2,5,11.64,17.743,6.762395637,2.119211834
1,7,2,2,3,7.246,10.361,1.896646684,1.966001394
1,3,6,2,8,4.549,21.987,5.501453186,2.218045197
1,4,7,2,5,6.653,17.743,6.762681895,2.118711279
1,5,10,8,6,2.96,22.085,8.746743649,7.489709793
1,4,4,3,4,3.782,14.218,3.771763392,2.988379651
1,4,7,2,8,6.498,22.456,6.575240902,2.199799531
1,7,10,4,2,3.558,13.089,10.5735354,4.274997883
1,2,8,4,6,2.069,20.681,7.50796494,3.923042714
1,4,1,1,3,5.308,8.661,0.862314578,1.087405333
1,1,2,2,6,1.077,16.132,1.188686284,2.18726484
1,4,1,1,5,6.159,12.493,1.305933219,0.964544886
1,5,2,2,8,5.379,20.091,0.516202091,2.259138969
1,7,9,2,4,12.36,17.793,8.930855699,2.016486907
1,7,5,4,8,6.79,23.14,3.489631812,3.985885318
1,6,10,6,6,4.379,21.38,7.714295111,5.826638156
1,7,3,2,5,8.342,14.882,2.527326256,2.170229923
1,5,3,7,6,2.759,19.314,1.339391903,6.58395566
1,7,4,3,7,7.324,20.055,2.961287529,3.156103298
1,4,8,5,8,3.754,25.038,6.766367501,4.898716803
1,1,9,4,3,0.6717,15.084,9.211859986,4.317958718
1,8,8,4,4,6.701,16.581,7.546402626,4.005282556
1,8,9,2,3,11.27,15.911,8.595228466,2.120232868
1,2,5,1,7,4.564,18.374,5.053529113,1.109625838
1,2,10,5,4,1.428,17.113,8.767177759,4.831565358
1,1,5,3,2,0.6193,10.571,5.000117214,3.209590988
1,3,7,3,4,3.264,16.105,6.648682709,2.999433993
1,4,7,5,6,3.346,20.377,6.104512752,4.74506465
1,5,10,4,2,2.542,13.089,10.57213405,4.274036885
1,4,1,2,7,3.983,17.376,-0.365428711,2.026851137
1,5,10,1,4,17.8,18.65,9.507929036,1.035262614
1,1,7,2,7,1.661,20.281,5.923471414,2.045117078
1,4,8,5,5,2.96,18.705,7.207444223,5.091937074
1,2,6,4,8,2.015,23.527,4.523244493,3.994868887
1,1,7,4,6,0.9961,20.16,6.416147266,3.919057359
1,2,10,6,2,0.6325,11.933,10.79375391,6.644224116
1,2,9,1,3,5.847,16.975,8.711216915,1.054123791
1,2,8,2,4,3.449,17.085,7.937507942,1.997641706
1,4,9,4,6,4.296,21.175,8.556541187,3.907890312
1,6,7,4,3,3.787,13.823,6.848182953,4.343123885
